timestamp,pressure,current,temperature_oil,temperature_air
2025-01-01T00:00:00,7.6410,17.7202,68.4678,39.9284
2025-01-01T00:01:00,8.0555,17.1181,64.1397,39.1530
2025-01-01T00:02:00,7.7221,18.3621,61.7705,38.2997
2025-01-01T00:03:00,8.3881,18.9626,70.1456,32.7366
2025-01-01T00:04:00,7.6836,17.1155,67.7566,42.9238
2025-01-01T00:05:00,8.7035,17.9220,72.8453,42.1107
2025-01-01T00:06:00,7.6578,18.3425,68.8295,34.1619
2025-01-01T00:07:00,7.9699,17.2391,67.2520,37.8772
2025-01-01T00:08:00,8.2922,18.2714,66.2740,41.3003
2025-01-01T00:09:00,7.9093,17.8787,63.8837,36.4699
2025-01-01T00:10:00,8.2153,19.4276,63.4471,36.0502
2025-01-01T00:11:00,7.6162,16.1367,64.8240,42.7223
2025-01-01T00:12:00,8.4019,16.9979,67.7765,37.8519
2025-01-01T00:13:00,8.6864,17.9740,64.4432,36.6835
2025-01-01T00:14:00,8.1868,15.3023,67.8766,38.3727
2025-01-01T00:15:00,8.0195,16.5944,68.9436,37.6547
2025-01-01T00:16:00,8.1261,17.4584,67.7127,38.5085
2025-01-01T00:17:00,7.9210,15.8304,72.1698,38.1936
2025-01-01T00:18:00,7.0257,16.2027,68.1523,39.3186
2025-01-01T00:19:00,8.1640,16.8542,64.9409,37.0314
2025-01-01T00:20:00,7.1792,16.3434,65.6289,38.1384
2025-01-01T00:21:00,7.4252,18.6524,70.1964,44.2528
2025-01-01T00:22:00,7.5617,15.6419,69.0897,39.1034
2025-01-01T00:23:00,7.9640,16.4375,64.5954,34.9468
2025-01-01T00:24:00,7.5718,18.3700,64.0688,38.9487
2025-01-01T00:25:00,7.9314,16.8155,66.3502,32.9583
2025-01-01T00:26:00,8.3937,16.8712,73.5169,38.3004
2025-01-01T00:27:00,7.8690,18.3723,64.8475,42.2022
2025-01-01T00:28:00,8.0428,17.3497,66.6613,30.8256
2025-01-01T00:29:00,6.9243,17.6344,70.4421,34.5681
2025-01-01T00:30:00,8.8040,18.1754,68.2585,40.8168
2025-01-01T00:31:00,6.8123,17.1174,68.8081,31.7525
2025-01-01T00:32:00,7.2948,16.5093,70.5360,34.7116
2025-01-01T00:33:00,8.0846,17.2821,67.8773,36.6945
2025-01-01T00:34:00,8.0861,18.3859,66.7994,33.0965
2025-01-01T00:35:00,8.1437,18.8539,72.9331,36.0862
2025-01-01T00:36:00,8.1332,17.0190,65.9003,32.5558
2025-01-01T00:37:00,8.0331,18.3199,70.0011,39.8171
2025-01-01T00:38:00,7.6852,18.5337,69.2287,40.8894
2025-01-01T00:39:00,8.0785,16.9259,71.7463,31.5666
2025-01-01T00:40:00,8.6165,18.0860,69.3482,34.6460
