timestamp,vibration,current,temperature
2025-01-01T00:00:00,0.2778,13.8863,72.1892
2025-01-01T00:01:00,0.2797,11.5623,70.2370
2025-01-01T00:02:00,0.2803,10.5684,60.5071
2025-01-01T00:03:00,0.2384,15.8682,75.0447
2025-01-01T00:04:00,0.3166,12.1620,67.0957
2025-01-01T00:05:00,0.2806,13.3821,75.0416
2025-01-01T00:06:00,0.3395,14.4140,71.2906
2025-01-01T00:07:00,0.3238,12.8357,73.7312
2025-01-01T00:08:00,0.2586,13.6137,70.0306
2025-01-01T00:09:00,0.3646,13.3224,75.3363
2025-01-01T00:10:00,0.3121,13.0878,62.0371
2025-01-01T00:11:00,0.3031,14.1693,76.2148
2025-01-01T00:12:00,0.2917,15.3614,74.1883
2025-01-01T00:13:00,0.2207,11.7947,67.0545
2025-01-01T00:14:00,0.2608,12.4646,70.2192
2025-01-01T00:15:00,0.2429,12.0895,64.6069
2025-01-01T00:16:00,0.2997,11.3339,73.1531
2025-01-01T00:17:00,0.3049,11.8103,74.0760
2025-01-01T00:18:00,0.3347,12.5427,61.9793
2025-01-01T00:19:00,0.3884,12.8487,73.3116
2025-01-01T00:20:00,0.3547,13.1279,58.8814
2025-01-01T00:21:00,0.2218,14.8096,65.9324
2025-01-01T00:22:00,0.4115,12.4586,73.3345
2025-01-01T00:23:00,0.3161,14.7496,63.5062
2025-01-01T00:24:00,0.3723,12.1298,67.0503
2025-01-01T00:25:00,0.2538,14.2194,68.1111
2025-01-01T00:26:00,0.3466,14.4069,68.9360
2025-01-01T00:27:00,0.2315,12.9337,68.7875
2025-01-01T00:28:00,0.2993,12.4245,64.2388
2025-01-01T00:29:00,0.3261,14.1338,74.9140
2025-01-01T00:30:00,0.2577,9.8608,66.4040
2025-01-01T00:31:00,0.3550,11.4538,69.9490
2025-01-01T00:32:00,0.2752,12.8451,69.8107
2025-01-01T00:33:00,0.2749,10.1833,73.7572
2025-01-01T00:34:00,0.2924,15.5532,70.3855
2025-01-01T00:35:00,0.2698,11.4172,66.3317
2025-01-01T00:36:00,0.2745,11.3553,61.2378
2025-01-01T00:37:00,0.2762,13.0198,71.4276
2025-01-01T00:38:00,0.2419,14.7129,70.2998
2025-01-01T00:39:00,0.2922,13.7348,66.3718
2025-01-01T00:40:00,0.2249,14.4001,73.1263
2025-01-01T00:41:00,0.3055,15.6593,71.7626
2025-01-01T00:42:00,0.2856,10.0524,77.5449
2025-01-01T00:43:00,0.3559,11.1873,74.9710
2025-01-01T00:44:00,0.3283,10.5803,76.2002
2025-01-01T00:45:00,0.2922,12.0090,74.7092
2025-01-01T00:46:00,0.3459,12.8036,66.8168
2025-01-01T00:47:00,0.2843,13.9606,65.0243
2025-01-01T00:48:00,0.2674,14.7599,67.1572
2025-01-01T00:49:00,0.2304,11.1693,71.9076
2025-01-01T00:50:00,0.2637,13.6050,73.7132
2025-01-01T00:51:00,0.2792,13.2533,70.8758
2025-01-01T00:52:00,0.3112,9.9585,71.8653
