timestamp,vibration,pressure_in,pressure_out,flow_rate
2025-01-01T00:00:00,0.2562,3.1565,10.7175,106.6653
2025-01-01T00:01:00,0.2450,3.0828,10.6466,114.0260
2025-01-01T00:02:00,0.2447,2.5003,8.7229,106.7086
2025-01-01T00:03:00,0.1814,2.7850,10.4692,111.3899
2025-01-01T00:04:00,0.2534,2.6587,9.0192,110.1408
2025-01-01T00:05:00,0.2623,3.2912,10.7271,108.1396
2025-01-01T00:06:00,0.2744,2.7001,10.1823,113.5543
2025-01-01T00:07:00,0.2390,2.7149,10.5160,114.9165
2025-01-01T00:08:00,0.2088,2.7687,10.7332,109.4793
2025-01-01T00:09:00,0.2593,3.1038,10.5966,112.0575
2025-01-01T00:10:00,0.2517,3.0524,10.2778,117.2374
2025-01-01T00:11:00,0.2430,3.2067,10.8324,107.5972
2025-01-01T00:12:00,0.2632,2.6954,9.4914,100.4499
2025-01-01T00:13:00,0.2539,3.3450,10.5033,106.9704
2025-01-01T00:14:00,0.2409,2.9380,9.6539,107.8318
2025-01-01T00:15:00,0.2454,3.4814,9.9917,103.1187
2025-01-01T00:16:00,0.1915,3.0911,10.1700,111.8844
2025-01-01T00:17:00,0.2682,3.3339,9.2744,113.2994
2025-01-01T00:18:00,0.2526,3.2408,9.5941,104.6234
2025-01-01T00:19:00,0.2887,3.1067,9.7622,107.0993
2025-01-01T00:20:00,0.2634,3.0694,9.8074,108.6011
2025-01-01T00:21:00,0.2604,2.5406,11.9996,113.4758
2025-01-01T00:22:00,0.2615,3.2367,10.5450,111.0266
2025-01-01T00:23:00,0.2805,3.1556,9.3872,111.8688
2025-01-01T00:24:00,0.2374,2.8132,11.1838,111.3795
2025-01-01T00:25:00,0.3069,2.9730,10.1231,109.1506
2025-01-01T00:26:00,0.2466,2.5596,9.9826,116.8989
2025-01-01T00:27:00,0.2261,3.3661,10.0392,102.3015
2025-01-01T00:28:00,0.2342,2.7732,10.0466,114.3267
2025-01-01T00:29:00,0.2815,2.8459,9.4999,105.9013
2025-01-01T00:30:00,0.2164,3.2260,10.9114,107.9493
2025-01-01T00:31:00,0.2840,3.1510,8.7449,115.9528
2025-01-01T00:32:00,0.2740,3.1910,8.9853,108.5804
2025-01-01T00:33:00,0.2497,3.1655,9.5892,113.9211
2025-01-01T00:34:00,0.2210,3.3336,10.2668,112.8319
2025-01-01T00:35:00,0.2385,3.2450,10.9884,110.8018
2025-01-01T00:36:00,0.2179,2.7422,9.9378,113.9972
2025-01-01T00:37:00,0.2181,3.0175,10.0127,118.6462
2025-01-01T00:38:00,0.2135,2.7148,8.4190,109.0114
2025-01-01T00:39:00,0.2350,2.9609,9.7802,112.1790
2025-01-01T00:40:00,0.2171,2.9783,9.7576,112.4161
2025-01-01T00:41:00,0.2611,3.0645,10.0805,105.5584
2025-01-01T00:42:00,0.2678,2.9840,12.2319,103.6032
