timestamp,pressure,temperature_oil,temperature_air,current
2025-01-01T00:00:00,11.6929,85.6052,38.9466,18.0637
2025-01-01T00:01:00,10.3569,81.23,43.5059,17.6174
2025-01-01T00:02:00,9.3802,82.1555,42.1882,18.4858
2025-01-01T00:03:00,11.2175,86.231,38.2447,15.6633
2025-01-01T00:04:00,11.177,82.1007,40.4933,17.4812
2025-01-01T00:05:00,10.137,81.9462,38.8959,18.7856
2025-01-01T00:06:00,10.2782,83.6124,42.0098,30.318
2025-01-01T00:07:00,10.7114,81.6724,40.9567,18.4947
2025-01-01T00:08:00,11.8144,86.2471,42.6609,40.4195
2025-01-01T00:09:00,10.6227,81.0603,41.6371,25.5063
2025-01-01T00:10:00,10.5244,81.7271,40.1574,17.7615
2025-01-01T00:11:00,11.2852,84.1158,41.4932,34.7431
2025-01-01T00:12:00,10.3476,84.5648,39.5022,16.056
2025-01-01T00:13:00,9.2213,80.9737,42.2699,17.3073
2025-01-01T00:14:00,10.142,86.5104,42.469,18.9312
2025-01-01T00:15:00,10.587,86.1783,38.174,18.4504
2025-01-01T00:16:00,9.7461,82.3067,38.8284,15.9097
2025-01-01T00:17:00,10.3023,79.7947,42.8615,18.9718
2025-01-01T00:18:00,11.3581,81.5183,42.2645,20.021
2025-01-01T00:19:00,11.5742,79.8108,40.5898,17.7682
2025-01-01T00:20:00,9.6044,84.6885,40.9333,18.6193
2025-01-01T00:21:00,11.3357,82.737,38.3674,18.9699
2025-01-01T00:22:00,10.7099,88.1755,40.6958,16.768
2025-01-01T00:23:00,16.1915,84.0913,43.6936,15.4014
2025-01-01T00:24:00,10.5522,80.2081,41.8318,17.9414
2025-01-01T00:25:00,10.1309,87.973,40.0046,31.35
2025-01-01T00:26:00,11.0407,79.9835,43.6401,20.1544
2025-01-01T00:27:00,10.8993,82.7075,43.5285,20.9556
2025-01-01T00:28:00,10.5551,84.7667,43.8823,19.0487
2025-01-01T00:29:00,11.0388,78.9933,41.0004,19.1729
2025-01-01T00:30:00,10.8584,80.9957,42.4376,18.0246
2025-01-01T00:31:00,17.7513,84.8714,37.0513,19.5254
2025-01-01T00:32:00,10.7685,83.8515,39.7997,17.5213
2025-01-01T00:33:00,13.5934,78.9536,41.9362,33.3395
2025-01-01T00:34:00,10.3285,82.947,42.7992,19.3664
2025-01-01T00:35:00,10.8547,82.8571,40.4168,18.0755
2025-01-01T00:36:00,10.8753,84.2138,38.44,15.7232
2025-01-01T00:37:00,10.5757,86.9141,44.0968,17.6323
2025-01-01T00:38:00,10.5817,90.6994,38.6976,17.1045
2025-01-01T00:39:00,9.8815,85.5031,39.9279,16.8496
2025-01-01T00:40:00,12.0023,84.0682,36.4747,16.4319
2025-01-01T00:41:00,10.5107,86.6995,41.7106,41.2806
2025-01-01T00:42:00,9.6934,86.9944,43.5609,16.8676
