timestamp,temp_in_hot,temp_out_hot,temp_in_cold,temp_out_cold,flow_rate
2025-01-01T00:00:00,113.2041,72.3443,22.8661,37.9586,156.2307
2025-01-01T00:01:00,93.8355,73.7438,19.48,36.6216,146.1835
2025-01-01T00:02:00,99.6643,70.7452,23.7625,35.7409,163.7972
2025-01-01T00:03:00,114.0724,69.5059,22.1641,37.7959,147.69
2025-01-01T00:04:00,98.4448,67.386,22.1312,38.2787,159.6096
2025-01-01T00:05:00,96.7038,72.9707,21.8887,39.925,169.1137
2025-01-01T00:06:00,94.0564,70.8067,21.4848,34.6037,136.2411
2025-01-01T00:07:00,94.9315,71.5825,21.5422,40.2927,157.7115
2025-01-01T00:08:00,97.0829,72.7316,22.6752,41.9012,153.9796
2025-01-01T00:09:00,96.6381,69.6369,23.4215,33.2576,144.322
2025-01-01T00:10:00,94.3146,71.2217,21.0027,40.8306,156.8097
2025-01-01T00:11:00,95.4826,72.7475,23.9348,37.6015,148.0533
2025-01-01T00:12:00,94.3009,73.7173,19.2911,38.8393,156.0635
2025-01-01T00:13:00,92.6375,72.8897,23.0667,37.5524,123.4669
2025-01-01T00:14:00,96.2244,71.5304,25.5858,38.8685,151.1208
2025-01-01T00:15:00,94.5098,71.7285,21.9826,39.5305,157.339
2025-01-01T00:16:00,93.0336,68.5566,23.1195,35.8332,165.8336
2025-01-01T00:17:00,96.4219,71.7026,21.2274,32.5824,148.5461
2025-01-01T00:18:00,96.0941,72.934,20.834,37.5086,147.8134
2025-01-01T00:19:00,95.5649,67.5626,20.2219,37.7421,151.9642
2025-01-01T00:20:00,99.6722,71.8219,21.5485,38.296,141.1024
2025-01-01T00:21:00,118.945,74.6519,20.9874,37.7046,162.3531
2025-01-01T00:22:00,93.9378,71.9735,20.628,38.7885,169.711
2025-01-01T00:23:00,96.7761,72.51,22.1642,42.6013,146.6359
2025-01-01T00:24:00,106.4596,74.3935,22.72,38.5583,161.1506
2025-01-01T00:25:00,96.7762,73.3453,22.1211,37.2641,162.2143
2025-01-01T00:26:00,109.1942,66.9435,22.2927,40.4018,143.7413
2025-01-01T00:27:00,92.0822,68.0666,21.6876,37.722,162.7792
2025-01-01T00:28:00,95.4885,68.8869,23.779,39.2104,151.0099
2025-01-01T00:29:00,95.1135,70.3793,21.8606,35.5119,149.1093
2025-01-01T00:30:00,100.94,73.5759,20.5989,39.7475,131.9601
2025-01-01T00:31:00,90.7648,73.1041,22.6691,37.5737,141.2671
2025-01-01T00:32:00,93.8848,74.7425,20.9291,36.7922,115.8738
2025-01-01T00:33:00,95.9939,71.3708,21.1972,34.7204,142.5496
2025-01-01T00:34:00,96.1215,71.478,20.7969,38.3757,173.8797
2025-01-01T00:35:00,91.9312,67.3417,20.8366,36.7426,148.9733
2025-01-01T00:36:00,95.0794,71.7007,20.9415,38.7162,148.549
2025-01-01T00:37:00,97.3448,68.611,19.1423,36.6762,125.627
2025-01-01T00:38:00,94.9577,69.9842,22.7766,36.6303,149.5248
2025-01-01T00:39:00,129.5517,70.1332,26.0006,38.3064,133.0229
